,Artists,uri
0,Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
1,24kGoldn,spotify:artist:6fWVd57NKTalqvmjRd2t8Z
2,Internet Money,spotify:artist:6MPCFvOQv5cIGfw3jODMF0
3,Cardi B,spotify:artist:4kYSro6naA4h99UJvo89HB
4,BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX
5,Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj
6,Maluma,spotify:artist:1r4hJ1h58CWwUQe3MxPuau
7,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
8,Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s
9,Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj
10,Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s
11,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3
12,Tate McRae,spotify:artist:45dkTj5sMRSjrmBSBeiHym
13,Joel Corry,spotify:artist:6DgP9otnZw5z6daOntINxp
14,DaBaby,spotify:artist:4r63FhuTkUYltbVAg5TQnk
15,Sech,spotify:artist:77ziqFxp5gaInVrF2lj4ht
16,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4
17,Ritt Momney,spotify:artist:7MPGCB854Qo4alYMOPkBka
18,Conan Gray,spotify:artist:4Uc8Dsxct0oMqx0P6i60ea
19,Shawn Mendes,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr
20,Jawsh 685,spotify:artist:56mfhUDKa1vec6rSLZV5Eg
21,Farruko,spotify:artist:329e4yvIujISKGKz1BZZbO
22,Fleetwood Mac,spotify:artist:08GQAI4eElDnROBrJRGE0X
23,Camilo,spotify:artist:1mcTU81TzQhprhouKaTkpq
24,Jay Wheeler,spotify:artist:2cPqdH7XMvwaBJEVjheH8g
25,Lewis Capaldi,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB
26,SAINt JHN,spotify:artist:0H39MdGGX6dbnnQPt6NQkZ
27,J Balvin,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
28,Lele Pons,spotify:artist:6i3DxIlAqnDkwELLw4aVrx
29,Luke Combs,spotify:artist:718COspgdWOnwOFpJHRZHS
30,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF
31,Topic,spotify:artist:0u6GtibW46tFX7koQ6uNJZ
32,Jason Derulo,spotify:artist:56mfhUDKa1vec6rSLZV5Eg
33,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF
34,Lewis Capaldi,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB
35,Tones And I,spotify:artist:2NjfBq1NflQcKSeiDooVjY
36,KAROL G,spotify:artist:790FomKkXshlbRYZFtlgla
37,Ozuna,spotify:artist:4VMYDCV2IEDYJArk749S6m
38,Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6
39,DJ Khaled,spotify:artist:0QHgL1lAIqAw0HtD7YldmP
40,Ozuna,spotify:artist:4VMYDCV2IEDYJArk749S6m
41,Justin Quiles,spotify:artist:14zUHaJZo1mnYtn6IBRaRP
42,Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj
43,Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
44,Nio Garcia,spotify:artist:5hdhHgpxyniooUiQVaPxQ0
45,Rauw Alejandro,spotify:artist:1mcTU81TzQhprhouKaTkpq
46,Ashnikko,spotify:artist:3PyJHH2wyfQK3WZrk9rpmP
47,Manuel Turizo,spotify:artist:0tmwSHipWxN12fsoLcFU3B
48,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF
49,Maluma,spotify:artist:1r4hJ1h58CWwUQe3MxPuau
50,Powfu,spotify:artist:6bmlMHgSheBauioMgKv2tn
51,Dua Lipa,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
52,Lil Mosey,spotify:artist:5zctI4wO9XSKS8XwcnqEHk
53,Jerry Di,spotify:artist:7f02bxFbZIOVdSbYRNYvLT
54,Clairo,spotify:artist:3l0CmX0FuQjFxr8SK7Vqag
55,Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
56,Dua Lipa,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
57,Ty Dolla $ign,spotify:artist:246dkjvS1zLTtiykXe5h60
58,Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms
59,Wisin,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
60,Ozuna,spotify:artist:4VMYDCV2IEDYJArk749S6m
61,Post Malone,spotify:artist:20gsENnposVs2I4rQ5kvrf
62,Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
63,Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
64,Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
65,Machine Gun Kelly,spotify:artist:6TIYQ3jFPwQSRmorSezPxX
66,Roddy Ricch,spotify:artist:4r63FhuTkUYltbVAg5TQnk
67,Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
68,Fousheé,spotify:artist:6trIghKwHRUyxwvm66HLHH
69,Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP
70,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3
71,Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
72,salem ilese,spotify:artist:3QJUFtGBGL05vo0kCJZsmT
73,Trevor Daniel,spotify:artist:7uaIm6Pw7xplS8Dy06V6pT
74,Shawn Mendes,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr
75,Jack Harlow,spotify:artist:2LIk90788K0zvyj2JJVwkJ
76,James Arthur,spotify:artist:4IWBUUAFIplrNtaOHcJPRM
77,Post Malone,spotify:artist:20gsENnposVs2I4rQ5kvrf
78,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF
79,Jack Harlow,spotify:artist:2LIk90788K0zvyj2JJVwkJ
80,The Kid LAROI,spotify:artist:2tIP7SsRs7vjIcLrU85W8J
81,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
82,Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
83,Tainy,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
84,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
85,Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj
86,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4
87,Surf Mesa,spotify:artist:1lmU3giNF3CSbkVSQmLpHQ
88,Ava Max,spotify:artist:4npEfmQ6YuiwW1GpUmaq3F
89,KAROL G,spotify:artist:790FomKkXshlbRYZFtlgla
90,Clean Bandit,spotify:artist:6MDME20pz9RveH9rEXvrOM
91,Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms
92,Sam Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI
93,Os Barões Da Pisadinha,spotify:artist:5Lv2GUVwqmQBPwrTrxucE5
94,Master KG,spotify:artist:523y9KSneKh6APd1hKxLuF
95,The Neighbourhood,spotify:artist:77SW9BnxLY8rJ0RciFqkHh
96,JP Saxe,spotify:artist:66W9LaWS0DPdL7Sz8iYGYe
97,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF
98,Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
99,StaySolidRocky,spotify:artist:1XLWox9w1Yvbodui0SRhUQ
100,Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s
101,BØRNS,spotify:artist:1KP6TWI40m7p3QBTU6u2xo
102,Dua Lipa,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
103,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3
104,21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft
105,Bonez MC,spotify:artist:1aS5tqEs9ci5P9KD9tZWa6
106,Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q
107,Arizona Zervas,spotify:artist:0vRvGUQVUjytro0xpb26bs
108,Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
109,James Arthur,spotify:artist:4IWBUUAFIplrNtaOHcJPRM
110,Aya Nakamura,spotify:artist:7IlRNXHjoOCgEAWN5qYksg
111,Super Yei,spotify:artist:6HqgxkTt9KGyt27zYrwVan
112,Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj
113,Future,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
114,J Balvin,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
115,Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
116,Vedo,spotify:artist:3wVXTWabe3viT0jF7DfjOL
117,Jonas Esticado,spotify:artist:22jNvLBrXGKr4CcV2tw8Ag
118,Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
119,Anitta,spotify:artist:7FNnA9vBm6EKceENgCGRMb
120,XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4
121,BANNERS,spotify:artist:4qWnlmXWuGv2TtuxtIWlJX
122,Kane Brown,spotify:artist:3oSJ7TBVCWMDMiYjXNiCKE
123,DJ Khaled,spotify:artist:0QHgL1lAIqAw0HtD7YldmP
124,KHEA,spotify:artist:4m6ubhNsdwF4psNf3R8kwR
125,Jawsh 685,spotify:artist:56mfhUDKa1vec6rSLZV5Eg
126,Polo G,spotify:artist:6AgTAQt8XS6jRWi4sX7w49
127,Regard,spotify:artist:4ofCBoyEiGSePFAG500xev
128,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
129,Daddy Yankee,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
130,21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft
131,Ozuna,spotify:artist:4VMYDCV2IEDYJArk749S6m
132,Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
133,Little Mix,spotify:artist:3e7awlrlDSwF3iM0WBjGMp
134,XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4
135,Dean Lewis,spotify:artist:3QSQFmccmX81fWCUSPTS7y
136,Marshmello,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
137,Sebastian Yatra,spotify:artist:07YUOmWljBTXwIseAUd9TW
138,Labrinth,spotify:artist:2feDdbD5araYcm6JhFHHw7
139,The Neighbourhood,spotify:artist:77SW9BnxLY8rJ0RciFqkHh
140,John Legend,spotify:artist:5y2Xq6xcjJb2jVM54GHK3t
141,blackbear,spotify:artist:6TIYQ3jFPwQSRmorSezPxX
142,Camilo,spotify:artist:1mcTU81TzQhprhouKaTkpq
143,Maluma,spotify:artist:1r4hJ1h58CWwUQe3MxPuau
144,Don Toliver,spotify:artist:4Gso3d4CscCijv0lmajZWs
145,MAX,spotify:artist:1bqxdqvUtPWZri43cKHac8
146,Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj
147,Manuel Turizo,spotify:artist:0tmwSHipWxN12fsoLcFU3B
148,Queen,spotify:artist:2cFrymmkijnjDg9SS92EPM
149,Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj
150,Doja Cat,spotify:artist:37hAfseJWi0G3Scife12Il
151,Sech,spotify:artist:77ziqFxp5gaInVrF2lj4ht
152,Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
153,KAROL G,spotify:artist:790FomKkXshlbRYZFtlgla
154,Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
155,Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
156,Wallows,spotify:artist:0NIPkIjTV8mB795yEIiPYL
157,THE SCOTTS,spotify:artist:2PaZWGu5T5nHjY2xxAkFsT
158,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
159,Post Malone,spotify:artist:20gsENnposVs2I4rQ5kvrf
160,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
161,Big Sean,spotify:artist:0c173mlxpT3dSFRgMO8XPh
162,Surfaces,spotify:artist:4ETSs924pXMzjIeD6E9b4u
163,Rauw Alejandro,spotify:artist:1mcTU81TzQhprhouKaTkpq
164,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
165,Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
166,Trueno,spotify:artist:2x7PC78TmgqpEIjaGAZ0Oz
167,Kina,spotify:artist:4qIVPF0s71ZYW3qzhu5GkF
168,Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6
169,J Balvin,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
170,Cali Y El Dandee,spotify:artist:5DUlefCLzVRzNWaNURTFpK
171,Money Man,spotify:artist:3Rx4PJ7SP6unkOk5elPUK7
172,Black Eyed Peas,spotify:artist:1yxSLGMDHlW21z4YXirZDS
173,Lauv,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv
174,Halsey,spotify:artist:6TIYQ3jFPwQSRmorSezPxX
175,Gusttavo Lima,spotify:artist:7MiDcPa6UiV3In7lIM71IN
176,Tame Impala,spotify:artist:5INjqkS1o8h1imAzPqGZBb
177,Lil Peep,spotify:artist:2kCcBybjl3SAtIcwdWpUe3
178,Adele,spotify:artist:4dpARuHxo51G3z768sgnrY
179,Bad Bunny,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
180,Niack,spotify:artist:5uYe4bcAXlMP7d4mrOYkML
181,Dan + Shay,spotify:artist:7z5WFjZAIYejWy0NI5lv4T
182,Joji,spotify:artist:3MZsBdqDrRTJihTHQrO6Dq
183,Passenger,spotify:artist:6Ghvu1VvMGScGpOUJBAHNH
184,Melanie Martinez,spotify:artist:63yrD80RY3RNEM2YDpUpO8
185,XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4
186,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS
187,Ofenbach,spotify:artist:4AKwRarlmsUlLjIwt38NLw
188,Marshmello,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
189,Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
190,Bad Bunny,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
191,Nelly Furtado,spotify:artist:2jw70GZXlAI8QzWeY2bgRc
192,Anuel AA,spotify:artist:2R21vXR83lH98kGeO99Y66
193,CORPSE,spotify:artist:7yntSJ6uojO3z6GFUVwhAW
194,Octavian,spotify:artist:5zfEatKLDdRkgbw6sdLBAQ
195,Ali Gatie,spotify:artist:4rTv3Ejc7hKMtmoBOK1B4T
196,CJ,spotify:artist:7arQA31aZVS8yS6zUveWzb
197,Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
198,Marshmello,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
199,13 Organisé,spotify:artist:19u3RGWKsjmbg9eI6zAiNp
